jstat打印出来的日志

 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT
10240.0 10240.0  0.0   1188.6 81920.0  39195.1   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  44195.9   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  49196.6   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  54197.4   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  59198.2   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  64199.0   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  69199.8   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  75019.8   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0  0.0   1188.6 81920.0  80020.6   102400.0     0.0     4864.0 3236.8 512.0  349.3       1    0.002   0      0.000    0.002
10240.0 10240.0 1304.5  0.0   81920.0   5471.0   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  10471.7   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  15472.5   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  20473.3   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  25474.1   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  30474.9   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  35475.6   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  40476.4   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  45477.2   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  50478.0   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  55478.8   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  60479.5   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  65480.3   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  70481.1   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  75481.9   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0 1304.5  0.0   81920.0  80482.7   102400.0     0.0     4864.0 3239.6 512.0  349.3       2    0.003   0      0.000    0.003
10240.0 10240.0  0.0   1616.5 81920.0   3697.8   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0   8698.6   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  13699.3   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  18700.1   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  23700.9   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  28701.7   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  33702.5   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  38703.2   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  43704.0   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  48704.8   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  53705.6   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  58706.4   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  63707.1   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  68707.9   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  73708.7   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0  0.0   1616.5 81920.0  78709.5   102400.0     0.0     4864.0 3243.1 512.0  349.3       3    0.004   0      0.000    0.004
10240.0 10240.0 1510.6  0.0   81920.0   1811.2   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0   6944.7   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  12078.3   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  17211.8   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  22345.4   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  27478.9   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  32612.4   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  37746.0   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  42879.5   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  48013.0   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  53146.6   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  58280.1   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  63413.7   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  68547.2   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  73680.7   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0 1510.6  0.0   81920.0  78814.3   102400.0     0.0     4864.0 3247.3 512.0  349.3       4    0.005   0      0.000    0.005
10240.0 10240.0  0.0   1408.8 81920.0   1818.7   102400.0     0.0     4864.0 3249.7 512.0  349.3       5    0.005   0      0.000    0.005
10240.0 10240.0  0.0   1408.8 81920.0   6974.7   102400.0     0.0     4864.0 3249.7 512.0  349.3       5    0.005   0      0.000    0.005
10240.0 10240.0  0.0   1408.8 81920.0  12130.8   102400.0     0.0     4864.0 3249.7 512.0  349.3       5    0.005   0      0.000    0.005
10240.0 10240.0  0.0   1408.8 81920.0  17286.8   102400.0     0.0     4864.0 3249.7 512.0  349.3       5    0.005   0      0.000    0.005
10240.0 10240.0  0.0   1408.8 81920.0  20724.2   102400.0     0.0     4864.0 3249.7 512.0  349.3       5    0.005   0      0.000    0.005
10240.0 10240.0  0.0   1408.8 81920.0  25880.2   102400.0     0.0     4864.0 3249.7 512.0  349.3       5    0.005   0      0.000    0.005
10240.0 10240.0  0.0   1408.8 81920.0  31036.2   102400.0     0.0     4864.0 3249.7 512.0  349.3       5    0.005   0      0.000    0.005
